year,champion,runner_up,score,sets,tiebreak
1877,Spencer Gore,William Marshall,"6-1, 6-2, 6-4",3,0
1878,Frank Hadow,Spencer Gore,"7-5, 6-1, 9-7",3,0
1879,John Hartley,Vere St. Leger Goold,"6-2, 6-4, 6-2",3,0
1880,John Hartley,Herbert Lawford,"6-3, 6-2, 2-6, 6-3",4,0
1881,William Renshaw,John Hartley,"6-0, 6-1, 6-1",3,0
1882,William Renshaw,Ernest Renshaw,"6-1, 2-6, 4-6, 6-2, 6-2",5,0
1883,William Renshaw,Ernest Renshaw,"2-6, 6-3, 6-3, 4-6, 6-3",5,0
1884,William Renshaw,Herbert Lawford,"6-0, 6-4, 9-7",3,0
1885,William Renshaw,Herbert Lawford,"7-5, 6-2, 4-6, 7-5",4,0
1886,William Renshaw,Herbert Lawford,"6-0, 5-7, 6-3, 6-4",4,0
1887,Herbert Lawford,Ernest Renshaw,"1-6, 6-3, 3-6, 6-4, 6-4",5,0
1888,Ernest Renshaw,Herbert Lawford,"6-3, 7-5, 6-0",3,0
1889,William Renshaw,Ernest Renshaw,"6-4, 6-1, 3-6, 6-0",4,0
1890,Willoughby Hamilton,William Renshaw,"6-8, 6-2, 3-6, 6-1, 6-1",5,0
1891,Wilfred Baddeley,Joshua Pim,"6-4, 1-6, 7-5, 6-0",4,0
1892,Wilfred Baddeley,Joshua Pim,"4-6, 6-3, 6-3, 6-2",4,0
1893,Joshua Pim,Wilfred Baddeley,"3-6, 6-1, 6-3, 6-2",4,0
1894,Joshua Pim,Wilfred Baddeley,"10-8, 6-2, 8-6",3,0
1895,Wilfred Baddeley,Wilberforce Eaves,"4-6, 2-6, 8-6, 6-2, 6-3",5,0
1896,Harold Mahony,Wilfred Baddeley,"6-2, 6-8, 5-7, 8-6, 6-3",5,0
1897,Reginald Doherty,Harold Mahony,"6-4, 6-4, 6-3",3,0
1898,Reginald Doherty,Laurence Doherty,"6-3, 6-3, 2-6, 5-7, 6-1",5,0
1899,Reginald Doherty,Arthur Gore,"1-6, 4-6, 6-3, 6-3, 6-3",5,0
1900,Reginald Doherty,Sydney Smith,"6-8, 6-3, 6-1, 6-2",4,0
1901,Arthur Gore,Reginald Doherty,"4-6, 7-5, 6-4, 6-4",4,0
1902,Laurence Doherty,Arthur Gore,"6-4, 6-3, 3-6, 6-0",4,0
1903,Laurence Doherty,Frank Riseley,"7-5, 6-3, 6-0",3,0
1904,Laurence Doherty,Frank Riseley,"6-1, 7-5, 8-6",3,0
1905,Laurence Doherty,Norman Brookes,"8-6, 6-2, 6-4",3,0
1906,Laurence Doherty,Frank Riseley,"6-4, 4-6, 6-2, 6-3",4,0
1907,Norman Brookes,Arthur Gore,"6-4, 6-2, 6-2",3,0
1908,Arthur Gore,Herbert Roper Barrett,"6-3, 6-2, 4-6, 3-6, 6-4",5,0
1909,Arthur Gore,Major Ritchie,"6-8, 1-6, 6-2, 6-2, 6-2",5,0
1910,Anthony Wilding,Arthur Gore,"6-4, 7-5, 4-6, 6-2",4,0
1911,Anthony Wilding,Herbert Roper Barrett,"6-4, 4-6, 2-6, 6-2, retired[e]",4,0
1912,Anthony Wilding,Arthur Gore,"6-4, 6-4, 4-6, 6-4",4,0
1913,Anthony Wilding,Maurice McLoughlin,"8-6, 6-3, 10-8",3,0
1914,Norman Brookes,Anthony Wilding,"6-4, 6-4, 7-5",3,0
1919,Gerald Patterson,Norman Brookes,"6-3, 7-5, 6-2",3,0
1920,Bill Tilden,Gerald Patterson,"2-6, 6-3, 6-2, 6-4",4,0
1921,Bill Tilden,Brian Norton,"4-6, 2-6, 6-1, 6-0, 7-5",5,0
1922,Gerald Patterson,Randolph Lycett,"6-3, 6-4, 6-2",3,0
1923,Bill Johnston,Francis Hunter,"6-0, 6-3, 6-1",3,0
1924,Jean Borotra,René Lacoste,"6-1, 3-6, 6-1, 3-6, 6-4",5,0
1925,René Lacoste,Jean Borotra,"6-3, 6-3, 4-6, 8-6",4,0
1926,Jean Borotra,Howard Kinsey,"8-6, 6-1, 6-3",3,0
